provincia,indicativo,nombre,latitud,longitud,altitud
STA. CRUZ DE TENERIFE,C438N,CANDELARIA,282133N,162406W,463
SANTA CRUZ DE TENERIFE,C439J,GÜÍMAR,281906N,162256W,115
STA. CRUZ DE TENERIFE,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",283135N,161649W,868
SANTA CRUZ DE TENERIFE,C447A,TENERIFE NORTE AEROPUERTO,282839N,161946W,632
SANTA CRUZ DE TENERIFE,C449C,STA.CRUZ DE TENERIFE,282748N,161519W,36
STA. CRUZ DE TENERIFE,C448C,CITFAGRO_92_SANTACRUZ,282745N,161624W,136
STA. CRUZ DE TENERIFE,C449F,ANAGA ,283029N,161144W,19
STA. CRUZ DE TENERIFE,C453I,CITFAGRO_88_GAITERO,282341N,162600W,1744
STA. CRUZ DE TENERIFE,C449Q,CITFAGRO_97_TAGANANA,283336N,161341W,305
STA. CRUZ DE TENERIFE,C455M,CITFAGRO_87_AGUAMANSA,282142N,162949W,1065
STA. CRUZ DE TENERIFE,C456E,CITFAGRO_10_RAVELO,282714N,162431W,922
STA. CRUZ DE TENERIFE,C456P,CITFAGRO_70_BENIJO,282141N,163248W,906
STA. CRUZ DE TENERIFE,C457E,CITFAGRO_67_MATANZA,282658N,162617W,650
STA. CRUZ DE TENERIFE,C456R,CITFAGRO_69_SUERTE,282222N,163231W,551
STA. CRUZ DE TENERIFE,C457I,LA VICTORIA DE ACENTEJO,282604N,162716W,567
STA. CRUZ DE TENERIFE,C458A,TACORONTE,282947N,162512W,310
STA. CRUZ DE TENERIFE,C458U,CITFAGRO_71_PALOB,282207N,163441W,595
STA. CRUZ DE TENERIFE,C466O,CITFAGRO_91_CUBO,282021N,164740W,878
STA. CRUZ DE TENERIFE,C467I,CITFAGRO_73_REDON,282112N,164230W,525
STA. CRUZ DE TENERIFE,C459Z,PUERTO DE LA CRUZ,282505N,163254W,25
STA. CRUZ DE TENERIFE,C468X,SAN JUAN DE LA RAMBLA,282223N,163733W,667
STA. CRUZ DE TENERIFE,C468O,CITFAGRO_62_TRIGO,282125N,164805W,450
STA. CRUZ DE TENERIFE,C468I,CITFAGRO_98_ELDRAGO,282201N,164320W,218
LAS PALMAS,C612F,"TEJEDA, CRUZ DE TEJEDA",280025N,153556W,1514
LAS PALMAS,C614H,TEJEDA,275942N,153657W,1060
LAS PALMAS,C619I,LA ALDEA DE SAN NICOLÁS,280003N,154850W,10
LAS PALMAS,C611E,VEGA DE SAN MATEO,275836N,153502W,1702
LAS PALMAS,C619X,AGAETE,280604N,154246W,5
LAS PALMAS,C619Y,LA ALDEA DE SAN NICOLÁS,280004N,154827W,13
LAS PALMAS,C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",275536N,153559W,1220
LAS PALMAS,C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",275125N,153842W,806
LAS PALMAS,C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",275432N,154612W,318
LAS PALMAS,C629Q,"MOGÁN, PUERTO RICO",274648N,154240W,10
LAS PALMAS,C629X,"MOGÁN, PUERTO",274859N,154551W,10
LAS PALMAS,C639M,"MASPALOMAS, C. INSULAR TURISMO ",274529N,153432W,45
LAS PALMAS,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",275512N,153427W,960
LAS PALMAS,C648C,AGÜIMES,275409N,152714W,306
LAS PALMAS,C648N,"TELDE, CENTRO FORESTAL DORAMAS",275915N,152728W,344
LAS PALMAS,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",274845N,152711W,41
LAS PALMAS,C649R,"TELDE, MELENARA",275912N,152240W,9
LAS PALMAS,C649I,GRAN CANARIA AEROPUERTO,275504N,152343W,24
LAS PALMAS,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",280441N,152712W,269
LAS PALMAS,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),280430N,152703W,269
LAS PALMAS,C656V,TEROR,280431N,153250W,683
LAS PALMAS,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",280523N,152458W,55
LAS PALMAS,C665T,VALLESECO,280356N,153356W,900
LAS PALMAS,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",280647N,152517W,15
LAS PALMAS,C668V,AGAETE - SUERTE ALTA,280540N,154030W,352
LAS PALMAS,C689E,MASPALOMAS,274409N,153545W,6
LAS PALMAS,C839I,TEGUISE,291355N,133007W,10
LAS PALMAS,C669B,ARUCAS,280830N,153024W,86
STA. CRUZ DE TENERIFE,C916Q,"EL PINAR, DEPÓSITO",274308N,175841W,948
LAS PALMAS,C839X,LA GRACIOSA,291347N,133037W,19
STA. CRUZ DE TENERIFE,C925F,"SAN ANDRÉS, VALVERDE",274608N,175737W,1070
STA. CRUZ DE TENERIFE,C919K,TACORON-LAPILLAS-TORTUGA,273955N,180107W,98
STA. CRUZ DE TENERIFE,C917E,"EL PINAR, LA DEHESA",274331N,180654W,713
SANTA CRUZ DE TENERIFE,C929I,HIERRO AEROPUERTO,274908N,175320W,32
STA. CRUZ DE TENERIFE,C939T,"FRONTERA, SABINOSA",274523N,180627W,20
STA. CRUZ DE TENERIFE,C928I,VALVERDE,274839N,175510W,670
TARRAGONA,0009X,ALFORJA,411250N,005748E,406
TARRAGONA,0002I,VANDELLÒS  ,405729N,005217E,32
TARRAGONA,0016B,REUS (CENTRE LECTURA),410915N,010632E,118
TARRAGONA,0042Y,TARRAGONA ,410726N,011457E,55
TARRAGONA,0016A,REUS AEROPUERTO,410842N,010949E,71
TARRAGONA,0034X,VALLS,411735N,011539E,233
BARCELONA,0061X,PONTONS,412501N,013109E,632
BARCELONA,0073X,SITGES,411438N,015109E,58
BARCELONA,0066X,VILAFRANCA DEL PENEDÈS,411949N,014037E,177
BARCELONA,0092X,BERGA,420605N,015127E,682
BARCELONA,0076,BARCELONA AEROPUERTO,411734N,020412E,4
BARCELONA,0106X,BALSARENY,415159N,015221E,361
BARCELONA,0120X,MOIÀ,414848N,020543E,742
BARCELONA,0149D,MANRESA (LA CULLA),414312N,015025E,291
BARCELONA,0114X,PRATS DE LLUÇANÈS,420025N,020136E,700
BARCELONA,0149X,MANRESA,414312N,015025E,291
BARCELONA,0158O,MONTSERRAT,413540N,015021E,738
BARCELONA,0194D,"CORBERA, PIC D'AGULLES",412429N,015306E,647
BARCELONA,0158X,MONISTROL DE MONTSERRAT,413540N,015021E,738
BARCELONA,0171X,IGUALADA,413444N,013704E,313
BARCELONA,0201X,"BARCELONA, DRASSANES",412230N,021026E,11
BARCELONA,0201D,"BARCELONA, PORT OLÍMPIC",412326N,021200E,26
BARCELONA,0200E,"BARCELONA, FABRA",412506N,020727E,408
BARCELONA,0244X,VILASSAR DE DALT,413018N,022145E,56
BARCELONA,0252D,ARENYS DE MAR,413514N,023224E,74
BARCELONA,0229I,SABADELL AEROPUERTO,413125N,020611E,146
BARCELONA,0222X,CALDES DE MONTBUI,413646N,021006E,175
BARCELONA,0255B,SANTA SUSANNA,413903N,024149E,40
BARCELONA,0260X,FOGARS DE MONTCLÚS,414536N,022552E,936
GIRONA,0281Y,BLANES,414037N,024818E,45
GIRONA,0284X,CASTELL D'ARO,414828N,030151E,14
GIRONA,0312X,SANT PAU DE SEGÚRIES,421530N,022152E,851
GIRONA,0320I,PLANOLES,421901N,020610E,1151
GIRONA,0294B,LA BISBAL (D'EMPORDA 3),415804N,030232E,51
GIRONA,0324A,RIPOLL,421129N,021146E,675
BARCELONA,0341,TONA (ESCOLA),415048N,021336E,611
GIRONA,0321,CAMPDEVANOL,421322N,021002E,731
GIRONA,0360X,LES PLANES D'HOSTOLES,420310N,023304E,337
BARCELONA,0349,SANT JULIÀ  DE VILATORTA,415534N,021903E,578
BARCELONA,0341X,TONA,415049N,021321E,607
GIRONA,0363X,SANT HILARI,415251N,023048E,810
GIRONA,0367,GIRONA AEROPUERTO,415442N,024548E,143
GIRONA,0372C,PORQUERES,420616N,024549E,157
GIRONA,0370B,"GIRONA, ANTIC INSTITUT",415848N,024931E,95
GIRONA,0370E,GIRONA,415820N,024910E,76
GIRONA,0385X,L'ESTARTIT,420314N,031205E,1
GIRONA,0394X,LA VALL DE BIANYA,421238N,022819E,350
GIRONA,0411X,CASTELLÓ D'EMPÚRIES,421329N,030535E,2
GIRONA,0413A,MAÇANET DE CABRENYS,422313N,024520E,355
GIRONA,0421E,ESPOLLA 'LES ALBERES',422324N,030022E,100
GIRONA,0421X,ESPOLLA,422324N,030022E,100
GIRONA,0429X,FIGUERES,421533N,025737E,45
NAVARRA,1002Y,"BAZTAN, IRURITA ",430809N,013235W,183
GIRONA,0433D,CABO DE CREUS,421909N,031856E,75
GIPUZKOA,1012P,IRUN,431935N,014748W,120
NAVARRA,1010X,BERA,431643N,014033W,54
GIPUZKOA,1014,"HONDARRIBIA, MALKARROA",432125N,014732W,4
NAVARRA,1021Y,ARTICUTZA (AUTOMATICA),431244N,014752W,305
GIPUZKOA,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",431823N,020228W,250
GIPUZKOA,1021X,"ERRENTERIA, AÑARBE",431250N,015244W,165
GIPUZKOA,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,432125N,014732W,4
GIPUZKOA,1025A,SEGURA,430056N,021524W,255
GIPUZKOA,1025X,"BEASAIN, ARRIARAN",430317N,021355W,255
GIPUZKOA,1037X,LEGAZPI,430306N,022014W,460
GIPUZKOA,1026X,ORDIZIA,430329N,021103W,290
NAVARRA,1033X,ARESO,430506N,015703W,520
ARABA/ALAVA,1044X,"ARAMAIO, ETXAGUEN",430328N,023523W,617
GIPUZKOA,1038X,AZPEITIA,431021N,021602W,180
GIPUZKOA,1041A,ZUMAIA,431808N,021504W,28
GIPUZKOA,1048X,ARETXABALETA,430130N,022757W,308
GIPUZKOA,1037Y,ZUMARRAGA,430448N,021903W,420
GIPUZKOA,1049N,ELGETA,430818N,022945W,470
GIPUZKOA,1050J,ELGOIBAR,431233N,022448W,119
GIPUZKOA,1052A,MUTRIKU,431902N,022350W,150
BIZKAIA,1055B,LEKEITIO,432237N,023037W,12
BIZKAIA,1056K,FORUA,432033N,024016W,45
ARABA/ALAVA,1060X,AMURRIO,430301N,030020W,240
BIZKAIA,1059X,PUNTA GALEA,432230N,030118W,81
BIZKAIA,1057B,MATXITXAKO,432714N,024510W,93
BIZKAIA,1064L,"OROZKO, IBARRA",430547N,025137W,270
BIZKAIA,1069Y,"ABADIÑO, URKIOLA",430557N,023839W,747
BIZKAIA,1078C,BALMASEDA,431050N,031235W,210
BIZKAIA,1078I,GÜEÑES,431212N,030617W,208
BIZKAIA,1074C,AMOREBIETA-ETXANO,431210N,024222W,100
BIZKAIA,1083B,SOPUERTA,431647N,031007W,177
BIZKAIA,1082,BILBAO AEROPUERTO,431753N,025423W,42
CANTABRIA,1083L,CASTRO URDIALES,432341N,031402W,45
CANTABRIA,1089U,RAMALES DE LA VICTORIA,431521N,032815W,80
CANTABRIA,1096X,"BARCENA DE CICERO, TRETO",432348N,032811W,10
CANTABRIA,1103X,SAN ROQUE DE RIOMIERA,431339N,034316W,849
CANTABRIA,1109,SANTANDER AEROPUERTO,432526N,034932W,3
CANTABRIA,1110,"SANTANDER, CIUDAD",432754N,034908W,64
CANTABRIA,1109X,SANTANDER AEROPUERTO,432543N,034953W,3
CANTABRIA,1124E,VILLACARRIEDO,431444N,035058W,196
CANTABRIA,1111,SANTANDER,432928N,034802W,52
CANTABRIA,1111X,SANTANDER,432928N,034802W,51
CANTABRIA,1152C,SAN FELICES DE BUELNA,431619N,040255W,105
CANTABRIA,1154H,"TORRELAVEGA, SIERRAPANDO",432131N,040139W,110
CANTABRIA,1135C,"LOS TOJOS, BÁRCENA MAYOR",430849N,041251W,460
CANTABRIA,1159,SAN VICENTE DE LA BARQUERA,432336N,042332W,38
CANTABRIA,1167B,"CAMALEÑO, FUENTE DE",430838N,044846W,1100
CANTABRIA,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",430521N,044626W,1722
CANTABRIA,1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",430918N,044811W,1910
CANTABRIA,1176A,TRESVISO,431521N,044006W,940
ASTURIAS,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",431415N,044412W,1236
CANTABRIA,1174I,"CILLÓRIGO DE LIÉBANA, TAMA",431058N,043606W,250
ASTURIAS,1183X,LLANES,432513N,044453W,10
ASTURIAS,1179B,CABRALES,431840N,045110W,458
LEON,1178Y,"POSADA DE VALDEÓN, SOTO ",430843N,045554W,953
ASTURIAS,1186P,"AMIEVA, PANIZALES",431560N,050709W,370
ASTURIAS,1203D,COLUNGA,432932N,051450W,30
ASTURIAS,1199X,"PILOÑA, BARGAÉU",432240N,052348W,280
ASTURIAS,1207U,"GIJÓN, CAMPUS",433123N,053716W,26
ASTURIAS,1208,GIJÓN,433220N,053815W,3
ASTURIAS,1208H,"GIJÓN, PUERTO",433335N,054203W,5
ASTURIAS,1210X,CABO PEÑAS,433921N,055055W,100
ASTURIAS,1208A,GIJÓN. LA MERCED,433230N,053943W,22
ASTURIAS,1212E,ASTURIAS AEROPUERTO,433401N,060239W,127
ASTURIAS,1221D,PAJARES-VALGRANDE,425843N,054635W,1480
ASTURIAS,1226X,"ALLER, FELECHOSA",430543N,052837W,750
ASTURIAS,1234P,"MIERES, BAIÑA",431630N,054909W,170
ASTURIAS,1223P,"LENA, RONZÓN",430758N,054922W,370
ASTURIAS,1249I,OVIEDO,432112N,055227W,336
ASTURIAS,1249X,OVIEDO,432112N,055226W,334
ASTURIAS,1272B,"TINEO, SOUTU",431725N,062312W,280
ASTURIAS,1283U,CABO BUSTO,433409N,062812W,60
ASTURIAS,1276F,POLA DE SOMIEDO,430600N,061525W,670
ASTURIAS,1279X,"SALAS, CAMUÑO",432530N,061351W,240
ASTURIAS,1309C,"IBIAS, SAN ANTOLIN",430139N,065306W,780
LUGO,1297E,CERVANTES,424607N,070103W,1020
ASTURIAS,1302F,DEGAÑA,425719N,062821W,1310
ASTURIAS,1331A,CASTROPOL,433129N,070153W,40
ASTURIAS,1341B,"TARAMUNDI, OURIA",432456N,070340W,340
ASTURIAS,1327A,"VILLAYÓN, ONETA",432756N,064024W,410
LUGO,1344X,MONDOÑEDO,432553N,072142W,125
LUGO,1347T,BURELA,433904N,072126W,80
LUGO,1342X,RIBADEO,433226N,070459W,43
A CORUÑA,1351,ESTACA DE BARES,434710N,074106W,90
A CORUÑA,1354C,FERROL,432835N,081544W,4
A CORUÑA,1363X,AS PONTES,432645N,075141W,343
A CORUÑA,1387D,A CORUÑA BENS,432148N,082631W,132
A CORUÑA,1387,A CORUÑA,432157N,082517W,57
A CORUÑA,1387E,A CORUÑA AEROPUERTO,431825N,082219W,98
A CORUÑA,1390X,"CARBALLO, DEPURADORA",431213N,084240W,98
A CORUÑA,1393,CABO VILÁN,430938N,091239W,50
A CORUÑA,1406X,MAZARICOS,425607N,085937W,340
A CORUÑA,1400,FISTERRA,425529N,091729W,230
A CORUÑA,1399,VIMIANZO,430327N,090249W,287
A CORUÑA,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,425317N,082438W,370
A CORUÑA,1410X,SOBRADO,430216N,080120W,500
A CORUÑA,1442U,BOIRO,423838N,085332W,10
A CORUÑA,1437O,MONTE IROITE,424314N,085524W,685
A CORUÑA,1435C,NOIA,424801N,085234W,128
LUGO,1446X,MONTERROSO,424835N,074606W,680
PONTEVEDRA,1465U,LALIN-CRISTIMIL,423956N,081133W,463
PONTEVEDRA,1455I,RODEIRO-VILAMAIOR,424240N,075714W,645
PONTEVEDRA,1466A,SILLEDA,424203N,081528W,435
PONTEVEDRA,1468X,A ESTRADA,424137N,083007W,269
A CORUÑA,1473A,PADRÓN,424418N,083738W,100
A CORUÑA,1475X,SANTIAGO DE COMPOSTELA,425234N,083321W,240
A CORUÑA,1476R,"ROIS, CASAS DO PORTO",424459N,084253W,210
PONTEVEDRA,1477U,VILAGARCIA DE AROUSA,423456N,084611W,36
PONTEVEDRA,1484C,PONTEVEDRA,422618N,083657W,113
PONTEVEDRA,1486E,ESCUELA NAVAL DE MARÍN,422346N,084225W,3
PONTEVEDRA,1484,"PONTEVEDRA, INSTITUTO",422550N,083850W,19
PONTEVEDRA,1477V,VILAGARCÍA DE AROUSA,423505N,084629W,32
PONTEVEDRA,1489A,A LAMA,422425N,082704W,395
PONTEVEDRA,1495,VIGO AEROPUERTO,421419N,083726W,255
LUGO,1505,LUGO AEROPUERTO,430640N,072727W,442
PONTEVEDRA,1496X,VIGO ,421350N,084327W,120
LUGO,1518A,LUGO,425954N,073309W,442
LUGO,1521X,BECERREÁ,425150N,071107W,1080
LUGO,1521I,O PÁRAMO,425043N,072958W,403
ASTURIAS,1542,PUERTO DE LEITARIEGOS,425939N,062451W,1530
LEON,1541B,VILLABLINO,425544N,062002W,958
LEON,1549,PONFERRADA,423350N,063600W,532
OURENSE,1583X,O BARCO DE VALDEORRAS,422456N,065935W,315
LEON,1561I,VEGA DE ESPINAREDA  ,424558N,064025W,770
OURENSE,1639X,CHANDREXA DE QUEIXA,421537N,072301W,990
OURENSE,1631E,A POBRA DE TRIVES,422022N,071657W,840
LUGO,1658,FOLGOSO DO COUREL,423519N,071130W,612
OURENSE,1690B,"OURENSE,INSTITUTO",421956N,075152W,148
OURENSE,1696O,BEARIZ,422805N,081641W,610
OURENSE,1690A,OURENSE,421931N,075135W,146
LUGO,1679A,MONFORTE DE LEMOS,423154N,073039W,291
OURENSE,1706A,ALLARIZ,421058N,074746W,492
OURENSE,1700X,O CARBALLIÑO,422517N,080533W,400
OURENSE,1701X,RIBADAVIA,421760N,080745W,112
PONTEVEDRA,1719,A CAÑIZA,421305N,081652W,560
PONTEVEDRA,1730E,O ROSAL,415638N,085051W,55
OURENSE,1735X,XINZO DE LIMIA,420445N,074401W,616
PONTEVEDRA,1723X,"PONTEAREAS, CANEDO   ",421056N,082934W,90
OURENSE,1738U,MUIÑOS,415603N,075920W,730
CANTABRIA,1740,"SANTILLANA DEL MAR, ALTAMIRA",432238N,040728W,150
SORIA,2005Y,"VINUESA, QUINTANAREJO",415804N,024658W,1197
SORIA,2030,SORIA,414630N,022859W,1081
SORIA,2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",415945N,022939W,1260
SORIA,2044B,LUBIA,413602N,023027W,1100
SORIA,2084Y,UCERO,414319N,030249W,960
SORIA,2059B,LA RIBA DE ESCALOTE,412059N,024700W,1042
SORIA,2048A,MORÓN DE ALMAZÁN,412510N,022513W,978
SORIA,2092,BURGO DE OSMA,413522N,030513W,932
SORIA,2096B,LICERAS,412225N,031505W,1150
BURGOS,2106B,CORUÑA DEL CONDE,414445N,032255W,955
BURGOS,2117D,ARANDA DE DUERO,413957N,034434W,790
SEGOVIA,2135A,FRESNO DE CANTESPINO,412222N,033026W,993
SEGOVIA,2140A,ALDEANUEVA DE SERREZUELA,412752N,034709W,1135
SEGOVIA,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",411131N,032831W,1798
VALLADOLID,2166Y,PEÑAFIEL,413535N,040729W,756
VALLADOLID,2172Y,SARDÓN DE DUERO,413643N,042420W,725
SEGOVIA,2182C,PEDRAZA,410802N,034725W,1107
SEGOVIA,2192C,CUÉLLAR,412301N,041556W,795
PALENCIA,2235U,CERVERA DE PISUERGA,425214N,043112W,1140
BURGOS,2285B,VILLADIEGO,423126N,040004W,869
PALENCIA,2276B,VILLAELES DE VALDAVIA,423408N,043430W,908
PALENCIA,2243A,AGUILAR DE CAMPOO,424753N,041638W,910
SORIA,2296A,ÓLVEGA,414632N,015836W,1039
BURGOS,2290Y,PEDROSA DEL PRÍNCIPE,421504N,041156W,771
BURGOS,2298,PALACIOS DE LA SIERRA,415735N,030754W,1080
BURGOS,2311Y,VILLAMAYOR DE LOS MONTES,420619N,034604W,884
BURGOS,2302N,MONTERRUBIO DE LA DEMANDA,420847N,030635W,1197
PALENCIA,2374X,CARRIÓN DE LOS CONDES,422103N,043702W,830
BURGOS,2331,BURGOS AEROPUERTO,422125N,033713W,891
PALENCIA,2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",425338N,044249W,1575
PALENCIA,2400E,AUTILLA DEL PINO,415944N,043610W,874
PALENCIA,2401X,PALENCIA,420034N,043338W,736
PALENCIA,2401,"PALENCIA, OBSERVATORIO",420018N,043145W,750
AVILA,2430Y,MUÑOTELLO,403236N,050239W,1178
VALLADOLID,2422,VALLADOLID,413827N,044515W,734
